timestamp,Cas confirmés,Décès
2020-10-15,388395,6039
2020-10-16,402619,6111
2020-10-17,397435,5947
2020-10-18,370484,5543
2020-10-19,362010,3954
2020-10-20,348700,4672
2020-10-21,394988,6415
2020-10-22,452243,6754
2020-10-23,472504,6367
2020-10-24,488773,6339
2020-10-25,459610,5798
2020-10-26,438930,4449
2020-10-27,415915,5472
2020-10-28,479372,7337
2020-10-29,513461,7153
2020-10-30,548100,7186
2020-10-31,542159,7320
2020-11-01,457999,6426
2020-11-02,487232,5338
2020-11-03,470495,6114
2020-11-04,504994,9859
2020-11-05,569890,9082
2020-11-06,612387,8784
2020-11-07,606017,8678
2020-11-08,593273,7459
2020-11-09,528837,6289
2020-11-10,502287,7281
2020-11-11,566934,10128
2020-11-12,623511,10611
2020-11-13,647500,9151
2020-11-14,635825,9996
2020-11-15,594468,8975
2020-11-16,514538,6694
2020-11-17,522070,8141
2020-11-18,584404,10708
2020-11-19,623134,11106
2020-11-20,640252,10732
2020-11-21,679246,12012
2020-11-22,572279,8541
2020-11-23,518260,7161
2020-11-24,534370,8886
2020-11-25,562359,12208
2020-11-26,647881,12631
2020-11-27,571827,10713
2020-11-28,649373,10426
2020-11-29,595768,9546
2020-11-30,516616,7410
2020-12-01,501937,8803
2020-12-02,591801,12786
2020-12-03,657717,12773
2020-12-04,681109,11941
2020-12-05,683363,12459
2020-12-06,634276,9924
2020-12-07,546373,7500
2020-12-08,526221,8360
2020-12-09,626355,12642
2020-12-10,676114,12376
2020-12-11,693352,12327
2020-12-12,657140,12355
2020-12-13,626421,10254
2020-12-14,540659,7085
